IdBundesland,Bundesland,IdLandkreis,Landkreis
7,Rheinland-Pfalz,7320,SK Zweibrücken
7,Rheinland-Pfalz,7331,LK Alzey-Worms
7,Rheinland-Pfalz,7332,LK Bad Dürkheim
7,Rheinland-Pfalz,7333,LK Donnersbergkreis
7,Rheinland-Pfalz,7334,LK Germersheim
7,Rheinland-Pfalz,7335,LK Kaiserslautern
7,Rheinland-Pfalz,7336,LK Kusel
7,Rheinland-Pfalz,7337,LK Südliche Weinstraße
7,Rheinland-Pfalz,7338,LK Rhein-Pfalz-Kreis
7,Rheinland-Pfalz,7339,LK Mainz-Bingen
7,Rheinland-Pfalz,7340,LK Südwestpfalz
8,Baden-Württemberg,8111,SK Stuttgart
8,Baden-Württemberg,8115,LK Böblingen
8,Baden-Württemberg,8116,LK Esslingen
8,Baden-Württemberg,8117,LK Göppingen
8,Baden-Württemberg,8118,LK Ludwigsburg
8,Baden-Württemberg,8119,LK Rems-Murr-Kreis
8,Baden-Württemberg,8121,SK Heilbronn
8,Baden-Württemberg,8125,LK Heilbronn
8,Baden-Württemberg,8126,LK Hohenlohekreis
8,Baden-Württemberg,8127,LK Schwäbisch Hall
8,Baden-Württemberg,8128,LK Main-Tauber-Kreis
8,Baden-Württemberg,8135,LK Heidenheim
8,Baden-Württemberg,8136,LK Ostalbkreis
8,Baden-Württemberg,8211,SK Baden-Baden
8,Baden-Württemberg,8212,SK Karlsruhe
8,Baden-Württemberg,8215,LK Karlsruhe
8,Baden-Württemberg,8216,LK Rastatt
8,Baden-Württemberg,8221,SK Heidelberg
8,Baden-Württemberg,8222,SK Mannheim
8,Baden-Württemberg,8225,LK Neckar-Odenwald-Kreis
8,Baden-Württemberg,8226,LK Rhein-Neckar-Kreis
8,Baden-Württemberg,8231,SK Pforzheim
8,Baden-Württemberg,8235,LK Calw
8,Baden-Württemberg,8236,LK Enzkreis
8,Baden-Württemberg,8237,LK Freudenstadt
8,Baden-Württemberg,8311,SK Freiburg i.Breisgau
8,Baden-Württemberg,8315,LK Breisgau-Hochschwarzwald
8,Baden-Württemberg,8316,LK Emmendingen
8,Baden-Württemberg,8317,LK Ortenaukreis
8,Baden-Württemberg,8325,LK Rottweil
8,Baden-Württemberg,8326,LK Schwarzwald-Baar-Kreis
8,Baden-Württemberg,8327,LK Tuttlingen
8,Baden-Württemberg,8335,LK Konstanz
8,Baden-Württemberg,8336,LK Lörrach
8,Baden-Württemberg,8337,LK Waldshut
8,Baden-Württemberg,8415,LK Reutlingen
8,Baden-Württemberg,8416,LK Tübingen
8,Baden-Württemberg,8417,LK Zollernalbkreis
8,Baden-Württemberg,8421,SK Ulm
8,Baden-Württemberg,8425,LK Alb-Donau-Kreis
8,Baden-Württemberg,8426,LK Biberach
8,Baden-Württemberg,8435,LK Bodenseekreis
8,Baden-Württemberg,8436,LK Ravensburg
8,Baden-Württemberg,8437,LK Sigmaringen
9,Bayern,9161,SK Ingolstadt
9,Bayern,9162,SK München
9,Bayern,9163,SK Rosenheim
9,Bayern,9171,LK Altötting
9,Bayern,9172,LK Berchtesgadener Land
9,Bayern,9173,LK Bad Tölz-Wolfratshausen
9,Bayern,9174,LK Dachau
9,Bayern,9175,LK Ebersberg
9,Bayern,9176,LK Eichstätt
9,Bayern,9177,LK Erding
9,Bayern,9178,LK Freising
9,Bayern,9179,LK Fürstenfeldbruck
9,Bayern,9180,LK Garmisch-Partenkirchen
9,Bayern,9181,LK Landsberg a.Lech
9,Bayern,9182,LK Miesbach
9,Bayern,9183,LK Mühldorf a.Inn
9,Bayern,9184,LK München
9,Bayern,9185,LK Neuburg-Schrobenhausen
9,Bayern,9186,LK Pfaffenhofen a.d.Ilm
9,Bayern,9187,LK Rosenheim
9,Bayern,9188,LK Starnberg
9,Bayern,9189,LK Traunstein
9,Bayern,9190,LK Weilheim-Schongau
9,Bayern,9261,SK Landshut
9,Bayern,9262,SK Passau
9,Bayern,9263,SK Straubing
9,Bayern,9271,LK Deggendorf
9,Bayern,9272,LK Freyung-Grafenau
9,Bayern,9273,LK Kelheim
9,Bayern,9274,LK Landshut
9,Bayern,9275,LK Passau
9,Bayern,9276,LK Regen
9,Bayern,9277,LK Rottal-Inn
9,Bayern,9278,LK Straubing-Bogen
9,Bayern,9279,LK Dingolfing-Landau
9,Bayern,9361,SK Amberg
9,Bayern,9362,SK Regensburg
9,Bayern,9363,SK Weiden i.d.OPf.
9,Bayern,9371,LK Amberg-Sulzbach
9,Bayern,9372,LK Cham
9,Bayern,9373,LK Neumarkt i.d.OPf.
9,Bayern,9374,LK Neustadt a.d.Waldnaab
9,Bayern,9375,LK Regensburg
9,Bayern,9376,LK Schwandorf
9,Bayern,9377,LK Tirschenreuth
9,Bayern,9461,SK Bamberg
9,Bayern,9462,SK Bayreuth
9,Bayern,9463,SK Coburg
9,Bayern,9464,SK Hof
9,Bayern,9471,LK Bamberg
9,Bayern,9472,LK Bayreuth
9,Bayern,9473,LK Coburg
9,Bayern,9474,LK Forchheim
9,Bayern,9475,LK Hof
9,Bayern,9476,LK Kronach
9,Bayern,9477,LK Kulmbach
9,Bayern,9478,LK Lichtenfels
9,Bayern,9479,LK Wunsiedel i.Fichtelgebirge
9,Bayern,9561,SK Ansbach
9,Bayern,9562,SK Erlangen
9,Bayern,9563,SK Fürth
9,Bayern,9564,SK Nürnberg
9,Bayern,9565,SK Schwabach
9,Bayern,9571,LK Ansbach
9,Bayern,9572,LK Erlangen-Höchstadt
9,Bayern,9573,LK Fürth
9,Bayern,9574,LK Nürnberger Land
9,Bayern,9575,LK Neustadt a.d.Aisch-Bad Windsheim
9,Bayern,9576,LK Roth
9,Bayern,9577,LK Weißenburg-Gunzenhausen
9,Bayern,9661,SK Aschaffenburg
9,Bayern,9662,SK Schweinfurt
9,Bayern,9663,SK Würzburg
9,Bayern,9671,LK Aschaffenburg
9,Bayern,9672,LK Bad Kissingen
9,Bayern,9673,LK Rhön-Grabfeld
9,Bayern,9674,LK Haßberge
9,Bayern,9675,LK Kitzingen
9,Bayern,9676,LK Miltenberg
9,Bayern,9677,LK Main-Spessart
9,Bayern,9678,LK Schweinfurt
9,Bayern,9679,LK Würzburg
9,Bayern,9761,SK Augsburg
9,Bayern,9762,SK Kaufbeuren
9,Bayern,9763,SK Kempten
9,Bayern,9764,SK Memmingen
9,Bayern,9771,LK Aichach-Friedberg
9,Bayern,9772,LK Augsburg
9,Bayern,9773,LK Dillingen a.d.Donau
9,Bayern,9774,LK Günzburg
9,Bayern,9775,LK Neu-Ulm
9,Bayern,9776,LK Lindau
9,Bayern,9777,LK Ostallgäu
9,Bayern,9778,LK Unterallgäu
9,Bayern,9779,LK Donau-Ries
9,Bayern,9780,LK Oberallgäu
10,Saarland,10041,LK Stadtverband Saarbrücken
10,Saarland,10042,LK Merzig-Wadern
10,Saarland,10043,LK Neunkirchen
10,Saarland,10044,LK Saarlouis
10,Saarland,10045,LK Saarpfalz-Kreis
10,Saarland,10046,LK Sankt Wendel
11,Berlin,11001,SK Berlin Mitte
11,Berlin,11002,SK Berlin Friedrichshain-Kreuzberg
11,Berlin,11003,SK Berlin Pankow
11,Berlin,11004,SK Berlin Charlottenburg-Wilmersdorf
11,Berlin,11005,SK Berlin Spandau
11,Berlin,11006,SK Berlin Steglitz-Zehlendorf
11,Berlin,11007,SK Berlin Tempelhof-Schöneberg
11,Berlin,11008,SK Berlin Neukölln
11,Berlin,11009,SK Berlin Treptow-Köpenick
11,Berlin,11010,SK Berlin Marzahn-Hellersdorf
11,Berlin,11011,SK Berlin Lichtenberg
11,Berlin,11012,SK Berlin Reinickendorf
12,Brandenburg,12051,SK Brandenburg a.d.Havel
12,Brandenburg,12052,SK Cottbus
12,Brandenburg,12053,SK Frankfurt (Oder)
12,Brandenburg,12054,SK Potsdam
12,Brandenburg,12060,LK Barnim
12,Brandenburg,12061,LK Dahme-Spreewald
12,Brandenburg,12062,LK Elbe-Elster
12,Brandenburg,12063,LK Havelland
12,Brandenburg,12064,LK Märkisch-Oderland
12,Brandenburg,12065,LK Oberhavel
12,Brandenburg,12066,LK Oberspreewald-Lausitz
12,Brandenburg,12067,LK Oder-Spree
12,Brandenburg,12068,LK Ostprignitz-Ruppin
12,Brandenburg,12069,LK Potsdam-Mittelmark
12,Brandenburg,12070,LK Prignitz
12,Brandenburg,12071,LK Spree-Neiße
12,Brandenburg,12072,LK Teltow-Fläming
12,Brandenburg,12073,LK Uckermark
13,Mecklenburg-Vorpommern,13003,SK Rostock
13,Mecklenburg-Vorpommern,13004,SK Schwerin
13,Mecklenburg-Vorpommern,13071,LK Mecklenburgische Seenplatte
13,Mecklenburg-Vorpommern,13072,LK Rostock
13,Mecklenburg-Vorpommern,13073,LK Vorpommern-Rügen
13,Mecklenburg-Vorpommern,13074,LK Nordwestmecklenburg
13,Mecklenburg-Vorpommern,13075,LK Vorpommern-Greifswald
13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim
14,Sachsen,14511,SK Chemnitz
14,Sachsen,14521,LK Erzgebirgskreis
14,Sachsen,14522,LK Mittelsachsen
14,Sachsen,14523,LK Vogtlandkreis
14,Sachsen,14524,LK Zwickau
14,Sachsen,14612,SK Dresden
14,Sachsen,14625,LK Bautzen
14,Sachsen,14626,LK Görlitz
14,Sachsen,14627,LK Meißen
14,Sachsen,14628,LK Sächsische Schweiz-Osterzgebirge
14,Sachsen,14713,SK Leipzig
14,Sachsen,14729,LK Leipzig
14,Sachsen,14730,LK Nordsachsen
15,Sachsen-Anhalt,15001,SK Dessau-Roßlau
15,Sachsen-Anhalt,15002,SK Halle
15,Sachsen-Anhalt,15003,SK Magdeburg
15,Sachsen-Anhalt,15081,LK Altmarkkreis Salzwedel
15,Sachsen-Anhalt,15082,LK Anhalt-Bitterfeld
15,Sachsen-Anhalt,15083,LK Börde
15,Sachsen-Anhalt,15084,LK Burgenlandkreis
15,Sachsen-Anhalt,15085,LK Harz
15,Sachsen-Anhalt,15086,LK Jerichower Land
15,Sachsen-Anhalt,15087,LK Mansfeld-Südharz
15,Sachsen-Anhalt,15088,LK Saalekreis
15,Sachsen-Anhalt,15089,LK Salzlandkreis
15,Sachsen-Anhalt,15090,LK Stendal
15,Sachsen-Anhalt,15091,LK Wittenberg
16,Thüringen,16051,SK Erfurt
16,Thüringen,16052,SK Gera
16,Thüringen,16053,SK Jena
16,Thüringen,16054,SK Suhl
16,Thüringen,16055,SK Weimar
16,Thüringen,16061,LK Eichsfeld
16,Thüringen,16062,LK Nordhausen
16,Thüringen,16063,LK Wartburgkreis
16,Thüringen,16064,LK Unstrut-Hainich-Kreis
16,Thüringen,16065,LK Kyffhäuserkreis
16,Thüringen,16066,LK Schmalkalden-Meiningen
16,Thüringen,16067,LK Gotha
16,Thüringen,16068,LK Sömmerda
16,Thüringen,16069,LK Hildburghausen
16,Thüringen,16070,LK Ilm-Kreis
16,Thüringen,16071,LK Weimarer Land
16,Thüringen,16072,LK Sonneberg
16,Thüringen,16073,LK Saalfeld-Rudolstadt
16,Thüringen,16074,LK Saale-Holzland-Kreis
16,Thüringen,16075,LK Saale-Orla-Kreis
16,Thüringen,16076,LK Greiz
16,Thüringen,16077,LK Altenburger Land
